wave,line,enemy_id,amount,spacing,delay_spawn,gate_spawn_id,
5,1,3005,1,0,2,0,
5,2,3005,1,0,2,0,
5,0,3003,1,0,1,0,
5,1,3003,1,0,1,0,
5,2,3003,1,0,1,0,
5,0,3005,1,0,1.5,0,
5,1,3005,1,0,1.5,0,
5,2,3005,1,0,1.5,0,
5,0,3003,1,0,1,0,
5,1,3003,1,0,1,0,
5,2,3003,1,0,1,0,
5,0,3005,1,0,1,0,
5,1,3005,1,0,1,0,
5,2,3005,1,0,1,0,
5,0,3003,1,0,0.5,0,
5,1,3003,1,0,0.5,0,
5,2,3003,1,0,0.5,0,
5,0,3007,1,0,0.5,0,
5,1,3007,1,0,0.5,0,
5,2,3007,1,0,0.5,0,
5,3,3003,2,1.5,10,1,
5,4,3003,2,1.5,10,1,
5,5,3003,2,1.5,10,1,
5,3,3013,1,0,1,1,
5,4,3013,1,0,1,1,
5,5,3013,1,0,1,1,
5,3,3003,2,1.3,1.5,1,
5,4,3003,2,1.3,1.5,1,
5,5,3003,2,1.3,1.5,1,
5,3,3013,1,0,1,1,
5,4,3013,1,0,1,1,
5,5,3013,1,0,1,1,
5,3,3003,2,1,1.3,1,
5,4,3003,2,1,1.3,1,
5,5,3003,2,1,1.3,1,
5,3,3013,1,0,0.5,1,
5,4,3013,1,0,0.5,1,
5,5,3013,1,0,0.5,1,
5,3,3003,2,1,1,1,
5,4,3003,2,1,1,1,
5,5,3003,2,1,1,1,
5,3,3013,1,0,0,1,
5,4,3013,1,0,0,1,
5,5,3013,1,0,0,1,
5,0,3004,5,2,2,0,
5,1,3004,5,2,2,0,
5,2,3004,5,2,2,0,
5,3,3013,2,2.3,5,1,
5,4,3013,2,2,5,1,
5,5,3013,2,2.6,5,1,
6,1,3006,1,0,0,0,
6,4,3006,1,0,0,1,
6,0,3010,1,0,0,0,
6,1,3010,1,0,0.6,0,
6,2,3010,1,0,1.8,0,
6,3,3010,1,0,1.3,1,
6,4,3010,1,0,2.3,1,
6,5,3010,1,0,0,1,
6,1,3006,1,0,2,0,
6,4,3006,1,0,2.8,1,
6,0,3009,1,0,2,0,
6,1,3009,1,0,1.5,0,
6,2,3009,1,0,2,0,
6,3,3009,1,0,1,1,
6,4,3009,1,0,0,1,
6,5,3009,1,0,1,1,
6,0,3007,1,0,3,0,
6,1,3007,1,0,3.5,0,
6,2,3007,1,0,2.8,0,
6,3,3007,1,0,3.3,1,
6,4,3007,1,0,4,1,
6,5,3007,1,0,3.6,1,
6,0,3004,4,2.3,9,0,
6,1,3004,4,2.3,9,0,
6,2,3004,4,2.3,9,0,
6,0,3004,1,0,2,0,
6,1,3004,1,0,2,0,
6,2,3004,1,0,2,0,
6,0,3014,1,0,2,0,
6,1,3014,1,0,2,0,
6,2,3014,1,0,2,0,
6,0,3004,1,0,2,0,
6,1,3004,1,0,2,0,
6,2,3004,1,0,2,0,
6,0,3014,1,0,3,0,
6,1,3014,1,0,3,0,
6,2,3014,1,0,3,0,
6,0,3004,1,0,2,0,
6,1,3004,1,0,2,0,
6,2,3004,1,0,2,0,
6,0,3014,1,0,3.2,0,
6,1,3014,1,0,2,0,
6,2,3014,1,0,2.5,0,
6,0,3004,1,0,2,0,
6,1,3004,1,0,2,0,
6,2,3004,1,0,2,0,
6,0,3014,1,0,1.5,0,
6,1,3014,1,0,1.5,0,
6,2,3014,1,0,1.5,0,
6,0,3004,1,0,2,0,
6,1,3004,1,0,2,0,
6,2,3004,1,0,2,0,
6,0,3014,1,0,2,0,
6,1,3014,1,0,2,0,
6,2,3014,1,0,2,0,
6,0,3004,1,0,2,0,
6,1,3004,1,0,2,0,
6,2,3004,1,0,2,0,
6,0,3014,1,0,1,0,
6,1,3014,1,0,1,0,
6,2,3014,1,0,1,0,
6,3,3009,1,0,5,1,
6,4,3009,1,0,5,1,
6,5,3009,1,0,5,1,
6,3,3004,4,2,2,1,
6,4,3004,4,2,2,1,
6,5,3004,4,2,2,1,
6,3,3002,1,0,2,1,
6,4,3002,1,0,2,1,
6,5,3002,1,0,2,1,
6,3,3004,1,0,2,1,
6,4,3004,1,0,2,1,
6,5,3004,1,0,2,1,
6,3,3002,1,0,2,1,
6,4,3002,1,0,2,1,
6,5,3002,1,0,2,1,
6,3,3004,1,0,2,1,
6,4,3004,1,0,2,1,
6,5,3004,1,0,2,1,
6,3,3002,1,0,2,1,
6,4,3002,1,0,2,1,
6,5,3002,1,0,2,1,
6,3,3004,1,0,2,1,
6,4,3004,1,0,2,1,
6,5,3004,1,0,2,1,
6,3,3002,1,0,2,1,
6,4,3002,1,0,2,1,
6,5,3002,1,0,2,1,
6,3,3004,1,0,2,1,
6,4,3004,1,0,2,1,
6,5,3004,1,0,2,1,
6,3,3002,1,0,2,1,
6,4,3002,1,0,2,1,
6,5,3002,1,0,2,1,
6,3,3004,1,0,2,1,
6,4,3004,1,0,2,1,
6,5,3004,1,0,2,1,
6,3,3002,1,0,2,1,
6,4,3002,1,0,2,1,
6,5,3002,1,0,2,1,
6,3,3004,1,0,2,1,
6,4,3004,1,0,2,1,
6,5,3004,1,0,2,1,
6,3,3002,1,0,2,1,
6,4,3002,1,0,2,1,
6,5,3002,1,0,2,1,
6,0,3014,1,0,0,0,
6,1,3014,1,0,0,0,
6,2,3014,1,0,0,0,
6,3,3014,1,0,0,1,
6,4,3014,1,0,0,1,
6,5,3014,1,0,0,1,
